name,url,exchange,ticker,business_activity,customer_segment,sic_industry
KADANT INC,https://www.kadant.com,NYSE,KAI,"technologies and engineered systems for industrial processing, fluid handling and doctoring, cleaning, & filtration, fiber processing and wood processing, conveyors, vibratory feeders, balers, and fiber-based products","packaging, tissue, food, metals, wood products, alternative fuels, aggregates, mining, waste management",Specialty Industrial Machinery
FLOWSERVE CORP,https://www.flowserve.com,NYSE,FLS,"flow control solutions, pumps, valves, seals, automation equipment","energy, chemicals, mining, water, power, general industries",Specialty Industrial Machinery
GE Vernova Inc.,https://www.gevernova.com,NYSE,GEV,"carbon capture technology, small modular reactors, electrification systems, energy generation technologies","energy companies, industrial hubs",Specialty Industrial Machinery
AMERICAN SUPERCONDUCTOR CORP /DE/,https://www.amsc.com,NASDAQ,AMSC,"advanced power electronics, superconductor systems, grid-wide solutions, renewable interconnectivity solutions, utility voltage solutions, turbine designs, electric control systems, power converters, generators & drivetrains","power networks, renewable energy companies, utility companies, industrial sectors, U.S. Navy",Specialty Industrial Machinery
Otis Worldwide Corp,https://www.otis.com,NYSE,OTIS,"elevator manufacturing, escalator manufacturing, elevator installation, escalator installation, elevator modernization, escalator modernization, elevator maintenance, escalator maintenance","residential buildings, retail centers, office buildings, hospitals, hotels, multi-use buildings, infrastructure projects",Specialty Industrial Machinery
DOVER Corp,https://www.dovercorporation.com,NYSE,DOV,"innovative equipment and components, consumable supplies, aftermarket parts, software and digital solutions, support services","industrial manufacturing, semiconductor manufacturing, fuel retail, crane industry",Specialty Industrial Machinery
AMETEK INC/,https://www.ametek.com,NYSE,AME,"advanced analytical, test and measurement instruments, process control instruments, power quality monitoring and metering, uninterruptible power systems, programmable power equipment, electromagnetic compatibility test equipment, sensors for gas turbines, dashboard instruments for heavy trucks, instrumentation and controls for the food and beverage industries, aircraft and engine sensors, monitoring systems, embedded computing systems, power supplies, fuel and fluid measurement systems, data acquisition systems","process industries, aerospace, medical, research, power, industrial markets",Specialty Industrial Machinery
XCHG Ltd,https://www.xcharge.com,NASDAQ,XCH,"battery-integrated fast charging solutions, EV charging technology, smart charging solutions","electric bus fleets, port terminals",Specialty Industrial Machinery
Xylem Inc.,https://www.xylem.com,NYSE,XYL,"water and wastewater treatment systems, digital water disinfection systems, pipeline assessment services, smart sewer technology","municipal drinking water utilities, food and beverage plants, power generation facilities, healthcare facilities",Specialty Industrial Machinery
WATTS WATER TECHNOLOGIES INC,https://www.watts.com,NYSE,WTS,"plumbing & flow control solutions, water quality solutions, drainage solutions, HVAC & hot water solutions, smart & connected solutions, energy efficiency solutions, water conservation solutions","data centers, battery plants, semiconductor facilities, healthcare facilities, hospitality industry",Specialty Industrial Machinery
