name,url,exchange,ticker,business_activity,customer_segment,sic_industry
ASHLAND INC.,https://www.ashland.com,NYSE,ASH,"agricultural adjuvants and inerts, pheromones, construction, oilfield and mining, batteries and energy storage, alternative dairy, alternative meat and seafood, bakery, beer and wine, beverages, dairy, meat, pet food, prepared foods, sauces and syrups, whipped toppings and desserts, high-dose dosimetry and research films, radiology films, radiotherapy films, blood safety filmQA pro™ software, Dose-Map™ blood irradiator dosimetry system, gafchromic™ in-vivo dosimetry system, architectural coatings, industrial coatings, adhesives, emissions control and catalysts, inks and printing, metal processing fluids, emulsion and suspension polymerization, hair care, oral care, skin care, home care, oral solid dosage, oral liquid dosage, parenteral excipients, dietary supplements, medical devices and tissue engineering polymers, topical dosage film coating systems","agriculture, construction, energy, food and beverage, medical, paints and coatings, personal and home care, pharmaceuticals",Specialty Chemicals
"DuPont de Nemours, Inc.",https://www.dupont.com,NYSE,DD,"water purification and solutions, healthcare solutions and healthcare packaging, automotive engineered and formulated solutions, integrated building solutions, aerospace offerings, printing and packaging solutions","healthcare, water, industrial segments, automotive, construction, aerospace, printing and packaging",Specialty Chemicals
NORTHERN TECHNOLOGIES INTERNATIONAL CORP,https://www.ntic.com,NASDAQ,NTIC,"corrosion management solutions, biobased and compostable plastics, corrosion mitigation solutions","Oil & Gas, process chemical industries",Specialty Chemicals
SASOL LTD,https://www.sasol.com,NYSE,SSL,"fuel components production, chemical components production, diesel production, petrol production, naphtha production, kerosene production, liquid petroleum gas production, olefins production, alcohols production, polymers production, solvents production, surfactants production, co-monomers production, ammonia production, methanol production, crude tar acids production, sulphur production, illuminating paraffin production, bitumen production, fuel oil production","energy sector, chemical industry",Specialty Chemicals
HUDSON TECHNOLOGIES INC /NY,https://www.hudsontech.com,NASDAQ,HDSN,"refrigerant reclamation, refrigerant management services, refrigerant sales, industrial gas sales, RefrigerantSide® Services, carbon offset projects","commercial air conditioning, industrial processing, refrigeration systems",Specialty Chemicals
"J-Star Holding Co., Ltd.",https://j-starholding.com,NASDAQ,YMAT,"carbon fiber solutions, composites solutions, resin systems, R&D services","personal sports equipment manufacturers, healthcare product manufacturers, automobile parts manufacturers",Specialty Chemicals
WD 40 CO,https://www.wd40company.com,NASDAQ,WDFC,"multi-use product manufacturing, lubricant production","industrial maintenance, consumer goods",Specialty Chemicals
CORE MOLDING TECHNOLOGIES INC,https://www.coremt.com,NYSE,CMT,"molding of thermoplastic and thermoset structural products, production of molded products for medium and heavy-duty trucks, production of molded products for power sports, production of molded products for building products, production of molded products for industrial markets","medium and heavy-duty truck manufacturers, power sports manufacturers, building product manufacturers, industrial product manufacturers",Specialty Chemicals
HAWKINS INC,https://www.hawkinsinc.com,NASDAQ,HWKN,"water treatment chemicals and services, industrial chemicals and services, health and nutrition ingredient distribution and formulation","municipal water treatment facilities, industrial companies, nutraceutical manufacturers",Specialty Chemicals
"Mativ Holdings, Inc.",https://www.mativ.com,NYSE,MATV,"specialty materials manufacturing, nonwovens production, films production, specialty paper production, netting production, adhesive application, advanced converting processes","filtration, healthcare, sustainable packaging, transportation, construction, consumer goods",Specialty Chemicals
